pfid,idsmartphone,url,timestamp,price,shipcost,rating,ratingnb,offertype,offerdetails,shipcountry,sellercountry
RAK,A1b,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484183,2024/11/05/14:40,1753.34,18.29,,,NewCondition,,,
RAK,A1b,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484183,2024/11/05/14:40,1753.99,18.29,,,NewCondition,,,
RAK,A1b,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484183,2024/11/05/14:40,1779.38,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,809.99,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,839.99,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,859.0,6.39,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,867.99,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,869.99,14.99,,,UsedCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,879.99,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,888.0,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,905.76,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,908.0,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,939.0,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,939.99,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,968.98,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,969.0,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,969.0,0.01,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,969.99,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,969.99,0.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,964.0,9.98,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,969.0,5.9,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,969.0,10.0,,,NewCondition,,,
RAK,A1c,https://fr.shopping.rakuten.com/mfp/12362131/apple-iphone-16?pid=13159484187,2024/11/05/14:40,1026.95,0.0,,,NewCondition,,,
